,index,0,Source,Name,P-value,P-adjust,VIP_scaled
0,R-HSA-5683826,3.5851960591181773,Proteomics,Surfactant metabolism,0.0021,0.8777425373134329,4.515197495276588
1,R-HSA-380994,3.0371670544169667,Transcriptomics,ATF4 activates genes in response to endoplasmic reticulum  stress,0.0136,0.8777425373134329,4.506929742772937
2,R-HSA-8849473,3.007995371346346,Transcriptomics,PTK6 Expression,0.0122,0.8777425373134329,4.431217604735863
3,R-HSA-166665,3.5307940275661847,Proteomics,Terminal pathway of complement,0.0057,0.8777425373134329,4.396509153461494
4,R-HSA-200425,12.123272387714835,Metabolomics,Carnitine metabolism,0.0031,0.8777425373134329,4.1121694987483774
5,R-HSA-70221,2.850220504495726,Transcriptomics,Glycogen breakdown (glycogenolysis),0.0113,0.8777425373134329,4.021728976025048
6,R-HSA-70171,11.773112159598726,Metabolomics,Glycolysis,0.0002,0.35,3.94300382025699
7,R-HSA-70326,11.773112159598726,Metabolomics,Glucose metabolism,0.0002,0.35,3.94300382025699
8,R-HSA-8857538,2.7935240909666663,Transcriptomics,PTK6 promotes HIF1A stabilization,0.0079,0.8777425373134329,3.8745791980390707
9,R-HSA-8948216,3.2571045204418265,Proteomics,Collagen chain trimerization,0.012,0.8777425373134329,3.799403625486213
10,R-HSA-162791,2.7628673964424064,Transcriptomics,Attachment of GPI anchor to uPAR,0.027,0.8777425373134329,3.7950128637291125
11,R-HSA-5357609,2.735737379823283,Transcriptomics,Glycogen storage disease type II (GAA),0.0265,0.8777425373134329,3.7245996634265266
12,R-HSA-844615,2.7095904933209445,Transcriptomics,The AIM2 inflammasome,0.0454,0.8777425373134329,3.6567380774044826
13,R-HSA-381340,3.150663803751618,Proteomics,Transcriptional regulation of white adipocyte differentiation,0.0048,0.8777425373134329,3.5671830299465537
14,R-HSA-9637628,3.1436915591761014,Proteomics,Modulation by Mtb of host immune system,0.0095,0.8777425373134329,3.5519717570622595
15,R-HSA-5638302,3.123094240863839,Proteomics,Signaling by Overexpressed Wild-Type EGFR in Cancer,0.0034,0.8777425373134329,3.5070348036695598
16,R-HSA-179812,3.123094240863839,Proteomics,GRB2 events in EGFR signaling,0.0034,0.8777425373134329,3.5070348036695598
17,R-HSA-5638303,3.123094240863839,Proteomics,Inhibition of Signaling by Overexpressed EGFR,0.0034,0.8777425373134329,3.5070348036695598
18,R-HSA-4419969,2.6431019053023275,Transcriptomics,Depolymerisation of the Nuclear Lamina,0.091,0.8777425373134329,3.4841737059292752
19,R-HSA-8964058,3.080700036525508,Proteomics,HDL remodeling,0.01,0.8777425373134329,3.4145438125807814
20,R-HSA-6799990,2.601207466911563,Transcriptomics,Metal sequestration by antimicrobial proteins,0.0782,0.8777425373134329,3.3754409497578726
21,R-HSA-5660668,2.5913081572148378,Transcriptomics,CLEC7A/inflammasome pathway,0.0323,0.8777425373134329,3.3497482977289943
22,R-HSA-5668599,2.5618536358264334,Transcriptomics,RHO GTPases Activate NADPH Oxidases,0.0081,0.8777425373134329,3.2733020815893186
23,R-HSA-5603041,2.5422949207813152,Transcriptomics,IRAK4 deficiency (TLR2/4),0.1225,0.8777425373134329,3.222539424880795
24,R-HSA-5602498,2.5422949207813152,Transcriptomics,MyD88 deficiency (TLR2/4),0.1225,0.8777425373134329,3.222539424880795
25,R-HSA-5621480,2.5361108519203284,Transcriptomics,Dectin-2 family,0.0821,0.8777425373134329,3.2064893027777837
26,R-HSA-5686938,2.53252878810655,Transcriptomics,Regulation of TLR by endogenous ligand,0.1477,0.8777425373134329,3.197192420274644
27,R-HSA-212718,2.9772263226977502,Proteomics,EGFR interacts with phospholipase C-gamma,0.0056,0.8777425373134329,3.1887962960762013
28,R-HSA-5686938,2.9652564360498928,Proteomics,Regulation of TLR by endogenous ligand,0.0114,0.8777425373134329,3.162681719884482
29,R-HSA-8964011,2.9484866095071567,Proteomics,HDL clearance,0.0157,0.8777425373134329,3.126095165152939
30,R-HSA-2562578,2.492748846441807,Transcriptomics,TRIF-mediated programmed cell death,0.0795,0.8777425373134329,3.0939476254118823
31,R-HSA-202131,2.4871068184613936,Transcriptomics,Metabolism of nitric oxide: NOS3 activation and regulation,0.0099,0.8777425373134329,3.079304315314622
32,R-HSA-8978868,9.899584698584379,Metabolomics,Fatty acid metabolism,0.0026,0.8777425373134329,3.0378851955065866
33,R-HSA-75109,2.4704778206805083,Transcriptomics,Triglyceride biosynthesis,0.0171,0.8777425373134329,3.0361454419525105
34,R-HSA-75105,9.88748886660321,Metabolomics,Fatty acyl-CoA biosynthesis,0.0048,0.8777425373134329,3.032041586039512
35,R-HSA-917937,9.884834727931743,Metabolomics,Iron uptake and transport,0.0083,0.8777425373134329,3.0307593468440883
36,R-HSA-9032845,2.466784997418187,Transcriptomics,Activated NTRK2 signals through CDK5,0.042,0.8777425373134329,3.026561094559645
37,R-HSA-6803157,2.8813049228300796,Proteomics,Antimicrobial peptides,0.029,0.8777425373134329,2.979525583750029
38,R-HSA-9026357,2.863085638795575,Proteomics,NTF4 activates NTRK2 (TRKB) signaling,0.0167,0.8777425373134329,2.9397767628066984
39,R-HSA-1474151,2.4203535335713373,Transcriptomics,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",0.0123,0.8777425373134329,2.9060529500166763
40,R-HSA-70263,9.593484139911373,Metabolomics,Gluconeogenesis,0.0068,0.8777425373134329,2.890005155065952
41,R-HSA-1236973,2.411089192595309,Transcriptomics,Cross-presentation of particulate exogenous antigens (phagosomes),0.0249,0.8777425373134329,2.8820082947562478
42,R-HSA-71336,2.4051632757450894,Transcriptomics,Pentose phosphate pathway,0.0071,0.8777425373134329,2.866628179955401
43,R-HSA-2142670,2.3989053830716145,Transcriptomics,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),0.0624,0.8777425373134329,2.850386455651448
44,R-HSA-5357769,2.387415673241932,Transcriptomics,Caspase activation via extrinsic apoptotic signalling pathway,0.1355,0.8777425373134329,2.82056608174553
45,R-HSA-9664420,2.385214317791474,Transcriptomics,Killing mechanisms,0.079,0.8777425373134329,2.8148526874470163
46,R-HSA-9673324,2.385214317791474,Transcriptomics,WNT5:FZD7-mediated leishmania damping,0.079,0.8777425373134329,2.8148526874470163
47,R-HSA-197264,2.3846891469399654,Transcriptomics,Nicotinamide salvaging,0.0365,0.8777425373134329,2.8134896598868235
48,R-HSA-187024,2.7837998343766066,Proteomics,NGF-independant TRKA activation,0.0176,0.8777425373134329,2.766799754641669
49,R-HSA-5602358,2.357624800473348,Transcriptomics,Diseases associated with the TLR signaling cascade,0.1042,0.8777425373134329,2.7432468997895363
50,R-HSA-5260271,2.357624800473348,Transcriptomics,Diseases of Immune System,0.1042,0.8777425373134329,2.7432468997895363
51,R-HSA-9634815,2.356456769431537,Transcriptomics,Transcriptional Regulation by NPAS4,0.2217,0.8777425373134329,2.740215393953719
52,R-HSA-450520,2.3538050486847033,Transcriptomics,HuR (ELAVL1) binds and stabilizes mRNA,0.0552,0.8777425373134329,2.7333331223091935
53,R-HSA-1482922,2.3347506519943653,Transcriptomics,Acyl chain remodelling of PI,0.122,0.8777425373134329,2.683879372625311
54,R-HSA-71403,9.125014829363119,Metabolomics,Citric acid cycle (TCA cycle),0.0147,0.8777425373134329,2.6636832532393107
55,R-HSA-140534,2.3242097643251824,Transcriptomics,Caspase activation via Death Receptors in the presence of ligand,0.1755,0.8777425373134329,2.656521570186884
56,R-HSA-381042,2.323987544694136,Transcriptomics,PERK regulates gene expression,0.0261,0.8777425373134329,2.65594482172367
57,R-HSA-9033658,2.732071992709458,Proteomics,Blood group systems biosynthesis,0.0354,0.8777425373134329,2.653945664858643
58,R-HSA-9037629,2.732071992709458,Proteomics,Lewis blood group biosynthesis,0.0354,0.8777425373134329,2.653945664858643
59,R-HSA-9768919,2.3209226238305267,Transcriptomics,NPAS4 regulates expression of target genes,0.0632,0.8777425373134329,2.6479901311788523
60,R-HSA-164938,2.7288773287254324,Proteomics,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.0327,0.8777425373134329,2.64697589994172
61,R-HSA-8964043,2.714919964998736,Proteomics,Plasma lipoprotein clearance,0.0191,0.8777425373134329,2.616525265846401
62,R-HSA-380972,2.30086823755035,Transcriptomics,Energy dependent regulation of mTOR by LKB1-AMPK,0.2236,0.8777425373134329,2.595941010165924
63,R-HSA-8866910,2.285484770092884,Transcriptomics,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,0.0266,0.8777425373134329,2.556014784147053
64,R-HSA-8949613,2.2839585153957596,Transcriptomics,Cristae formation,0.0085,0.8777425373134329,2.552053545228178
65,R-HSA-77289,2.2702094656089313,Transcriptomics,Mitochondrial Fatty Acid Beta-Oxidation,0.056,0.8777425373134329,2.516369284130905
